Lookup Key,Name,Position,Salary Cap,Team,Position Group,Abbreviation,Bye Week
RBC.J. HamMIN,C.J. Ham,FB,"$3,516,667 ",Minnesota Vikings,RB,MIN,6
DLC.J. RavenellBAL,C.J. Ravenell,DE,"$840,000 ",Baltimore Ravens,DL,BAL,7
QBC.J. StroudHOU,C.J. Stroud,QB,"$9,894,339 ",Houston Texans,QB,HOU,6
WRCade McDonaldCLE,Cade McDonald,WR,"$840,000 ",Cleveland Browns,WR,CLE,9
TECade OttonTB,Cade Otton,TE,"$3,864,486 ",Tampa Bay Buccaneers,TE,TB,9
TECade StoverHOU,Cade Stover,TE,"$1,144,734 ",Houston Texans,TE,HOU,6
TECaden PrieskornDEN,Caden Prieskorn,TE,"$840,000 ",Denver Broncos,TE,DEN,12
DBCaelen CarsonDAL,Caelen Carson,CB,"$1,023,569 ",Dallas Cowboys,DB,DAL,10
KCairo SantosCHI,Cairo Santos,K,"$4,260,000 ",Chicago Bears,K,CHI,5
DLCalais CampbellARI,Calais Campbell,DE,"$6,000,000 ",Arizona Cardinals,DL,ARI,8
LBCaleb JohnsonATL,Caleb Johnson,ILB,"$1,030,000 ",Atlanta Falcons,LB,ATL,5
TECaleb LohnerDEN,Caleb Lohner,TE,"$867,372 ",Denver Broncos,TE,DEN,12
LBCaleb MurphyLAC,Caleb Murphy,OLB,"$1,030,000 ",Los Angeles Chargers,LB,LAC,12
DBCaleb RansawJAC,Caleb Ransaw,CB,"$1,142,014 ",Jacksonville Jaguars,DB,JAC,8
QBCaleb WilliamsCHI,Caleb Williams,QB,"$8,974,104 ",Chicago Bears,QB,CHI,5
DBCalen BullockHOU,Calen Bullock,S,"$1,331,136 ",Houston Texans,DB,HOU,6
DLCalijah KanceyTB,Calijah Kancey,DT,"$3,952,766 ",Tampa Bay Buccaneers,DL,TB,9
WRCalvin Austin IIIPIT,Calvin Austin III,WR,"$1,226,085 ",Pittsburgh Steelers,WR,PIT,5
WRCalvin RidleyTEN,Calvin Ridley,WR,"$28,000,000 ",Tennessee Titans,WR,TEN,10
RBCam AkersNO,Cam Akers,RB,"$1,030,000 ",New Orleans Saints,RB,NO,11
DBCam BynumIND,Cam Bynum,FS,"$7,010,000 ",Indianapolis Colts,DB,IND,11
WRCam CamperJAC,Cam Camper,WR,"$841,666 ",Jacksonville Jaguars,WR,JAC,8
TECam GrandyCIN,Cam Grandy,TE,"$980,000 ",Cincinnati Bengals,TE,CIN,10
DBCam HartLAC,Cam Hart,CB,"$1,050,982 ",Los Angeles Chargers,DB,LAC,12
DLCam HorsleyTEN,Cam Horsley,DT,"$845,000 ",Tennessee Titans,DL,TEN,10
DLCam JacksonCAR,Cam Jackson,DT,"$958,289 ",Carolina Panthers,DL,CAR,14
LBCam JonesKC,Cam Jones,LB,"$1,035,000 ",Kansas City Chiefs,LB,KC,10
DBCam LampkinLAR,Cam Lampkin,CB,"$960,000 ",Los Angeles Rams,DB,LAR,8
DBCam LewisBUF,Cam Lewis,CB,"$1,968,500 ",Buffalo Bills,DB,BUF,7
KCam LittleJAC,Cam Little,K,"$994,597 ",Jacksonville Jaguars,K,JAC,8
QBCam MillerLV,Cam Miller,QB,"$883,570 ",Las Vegas Raiders,QB,LV,8
LBCam RileyNE,Cam Riley,LB,"$843,333 ",New England Patriots,LB,NE,14
RBCam SkatteboNYG,Cam Skattebo,RB,"$1,108,260 ",New York Giants,RB,NYG,14
DBCam SmithMIA,Cam Smith,CB,"$1,916,843 ",Miami Dolphins,DB,MIA,12
DBCam Taylor-BrittCIN,Cam Taylor-Britt,CB,"$4,033,314 ",Cincinnati Bengals,DB,CIN,10
DLCam ThomasCLE,Cam Thomas,DE,"$1,406,501 ",Cleveland Browns,DL,CLE,9
DBCam'Ron Silmon-CraigJAC,Cam'Ron Silmon-Craig,S,"$840,500 ",Jacksonville Jaguars,DB,JAC,8
KCameron DickerLAC,Cameron Dicker,K,"$2,725,000 ",Los Angeles Chargers,K,LAC,12
LBCameron GoodeMIA,Cameron Goode,OLB,"$1,030,000 ",Miami Dolphins,LB,MIA,12
DLCameron HeywardPIT,Cameron Heyward,DE,"$19,650,000 ",Pittsburgh Steelers,DL,PIT,5
PCameron JohnstonPIT,Cameron Johnston,P,"$3,458,333 ",Pittsburgh Steelers,P,PIT,5
DLCameron JordanNO,Cameron Jordan,DE,"$9,775,000 ",New Orleans Saints,DL,NO,11
DBCameron McCutcheonPIT,Cameron McCutcheon,CB,"$840,000 ",Pittsburgh Steelers,DB,PIT,5
LBCameron McGroneIND,Cameron McGrone,OLB,"$1,100,000 ",Indianapolis Colts,LB,IND,11
DBCameron MitchellCLE,Cameron Mitchell,CB,"$1,114,308 ",Cleveland Browns,DB,CLE,9
DLCameron SampleCIN,Cameron Sample,DE,"$1,225,000 ",Cincinnati Bengals,DL,CIN,10
QBCameron WardTEN,Cameron Ward,QB,"$8,879,930 ",Tennessee Titans,QB,TEN,10
DBCar'lin VigersWAS,Car'lin Vigers,CB,"$848,333 ",Washington Commanders,DB,WAS,12
DLCarl DavisWAS,Carl Davis,DT,"$1,030,000 ",Washington Commanders,DL,WAS,12
DLCarl GrandersonNO,Carl Granderson,DE,"$6,482,000 ",New Orleans Saints,DL,NO,11
LBCarlos Basham Jr.CAR,Carlos Basham Jr.,OLB,"$1,030,000 ",Carolina Panthers,LB,CAR,14
RBCarlos Washington Jr.ATL,Carlos Washington Jr.,RB,"$960,000 ",Atlanta Falcons,RB,ATL,5
DLCarlos WatkinsTEN,Carlos Watkins,DE,"$1,010,000 ",Tennessee Titans,DL,TEN,10
DBCarlton DavisNE,Carlton Davis,CB,"$11,700,000 ",New England Patriots,DB,NE,14
DBCarrington ValentineGB,Carrington Valentine,CB,"$1,055,176 ",Green Bay Packers,DB,GB,5
LBCarson BruenerPIT,Carson Bruener,LB,"$874,235 ",Pittsburgh Steelers,LB,PIT,5
LBCarson SchwesingerCLE,Carson Schwesinger,LB,"$2,145,527 ",Cleveland Browns,LB,CLE,9
RBCarson SteeleKC,Carson Steele,RB,"$960,000 ",Kansas City Chiefs,RB,KC,10
QBCarter BradleySF,Carter Bradley,QB,"$960,000 ",San Francisco 49ers,QB,SF,14
QBCase KeenumCHI,Case Keenum,QB,"$2,250,000 ",Chicago Bears,QB,CHI,5
DLCasey RogersBUF,Casey Rogers,DT,"$960,000 ",Buffalo Bills,DL,BUF,7
DLCasey ToohillHOU,Casey Toohill,DE,"$1,179,853 ",Houston Texans,DL,HOU,6
WRCasey WashingtonATL,Casey Washington,WR,"$1,008,399 ",Atlanta Falcons,WR,ATL,5
LBCedric GrayTEN,Cedric Gray,LB,"$1,168,623 ",Tennessee Titans,LB,TEN,10
DLCedric JohnsonCIN,Cedric Johnson,DE,"$994,597 ",Cincinnati Bengals,DL,CIN,10
WRCedric TillmanCLE,Cedric Tillman,WR,"$1,530,126 ",Cleveland Browns,WR,CLE,9
WRCedrick WilsonNO,Cedrick Wilson,WR,"$1,670,000 ",New Orleans Saints,WR,NO,11
WRCeeDee LambDAL,CeeDee Lamb,WR,"$15,332,353 ",Dallas Cowboys,WR,DAL,10
LBChad MumaJAC,Chad Muma,LB,"$1,726,489 ",Jacksonville Jaguars,LB,JAC,8
KChad RylandARI,Chad Ryland,K,"$1,030,000 ",Arizona Cardinals,K,ARI,8
DBChamarri ConnerKC,Chamarri Conner,CB,"$1,217,842 ",Kansas City Chiefs,DB,KC,10
WRChandler BrayboyJAC,Chandler Brayboy,WR,"$845,000 ",Jacksonville Jaguars,WR,JAC,8
LBChandler MartinBAL,Chandler Martin,LB,"$846,666 ",Baltimore Ravens,LB,BAL,7
LBChanning TindallMIA,Channing Tindall,LB,"$1,605,198 ",Miami Dolphins,LB,MIA,12
DLCharles OmenihuKC,Charles Omenihu,DE,"$3,670,000 ",Kansas City Chiefs,DL,KC,10
DLCharles SnowdenLV,Charles Snowden,DE,"$960,000 ",Las Vegas Raiders,DL,LV,8
WRCharlie JonesCIN,Charlie Jones,WR,"$1,199,694 ",Cincinnati Bengals,WR,CIN,10
TECharlie KolarBAL,Charlie Kolar,TE,"$1,276,221 ",Baltimore Ravens,TE,BAL,7
TECharlie WoernerATL,Charlie Woerner,TE,"$3,730,000 ",Atlanta Falcons,TE,ATL,5
DBCharvarius WardIND,Charvarius Ward,CB,"$9,026,667 ",Indianapolis Colts,DB,IND,11
RBChase BrownCIN,Chase Brown,RB,"$1,101,539 ",Cincinnati Bengals,RB,CIN,10
WRChase CotaCLE,Chase Cota,WR,"$840,000 ",Cleveland Browns,WR,CLE,9
DBChase LucasSF,Chase Lucas,CB,"$1,030,000 ",San Francisco 49ers,DB,SF,14
KChase McLaughlinTB,Chase McLaughlin,K,"$3,500,000 ",Tampa Bay Buccaneers,K,TB,9
DLChase YoungNO,Chase Young,DE,"$6,842,000 ",New Orleans Saints,DL,NO,11
DBChau Smith-WadeCAR,Chau Smith-Wade,CB,"$1,040,996 ",Carolina Panthers,DB,CAR,14
DBChauncey Gardner-JohnsonHOU,Chauncey Gardner-Johnson,S,"$9,000,000 ",Houston Texans,DB,HOU,6
DLChauncey GolstonNYG,Chauncey Golston,DE,"$4,000,000 ",New York Giants,DL,NYG,14
LBChaz ChamblissMIN,Chaz Chambliss,OLB,"$846,666 ",Minnesota Vikings,LB,MIN,6
LBChazz SurrattSF,Chazz Surratt,ILB,"$1,150,000 ",San Francisco 49ers,LB,SF,14
DBChidobe AwuzieBAL,Chidobe Awuzie,CB,"$1,255,000 ",Baltimore Ravens,DB,BAL,7
DBChigozie AnusiemCLE,Chigozie Anusiem,CB,"$960,000 ",Cleveland Browns,DB,CLE,9
TEChigoziem OkonkwoTEN,Chigoziem Okonkwo,TE,"$3,532,085 ",Tennessee Titans,TE,TEN,10
WRChimere DikeTEN,Chimere Dike,WR,"$1,115,238 ",Tennessee Titans,WR,TEN,10
DLChop RobinsonMIA,Chop Robinson,DE,"$3,403,688 ",Miami Dolphins,DL,MIA,12
WRChris BlairATL,Chris Blair,WR,"$960,000 ",Atlanta Falcons,WR,ATL,5
LBChris BoardNYG,Chris Board,ILB,"$2,350,000 ",New York Giants,LB,NYG,14
KChris BoswellPIT,Chris Boswell,K,"$4,720,000 ",Pittsburgh Steelers,K,PIT,5
DLChris BraswellTB,Chris Braswell,DE,"$1,542,090 ",Tampa Bay Buccaneers,DL,TB,9
RBChris BrooksGB,Chris Brooks,RB,"$1,030,000 ",Green Bay Packers,RB,GB,5
RBChris CollierLV,Chris Collier,RB,"$960,000 ",Las Vegas Raiders,RB,LV,8
DBChris EdmondsCLE,Chris Edmonds,S,"$840,000 ",Cleveland Browns,DB,CLE,9
WRChris GodwinTB,Chris Godwin,WR,"$12,938,000 ",Tampa Bay Buccaneers,WR,TB,9
DLChris JonesKC,Chris Jones,DT,"$23,600,000 ",Kansas City Chiefs,DL,KC,10
TEChris ManhertzNYG,Chris Manhertz,TE,"$1,197,500 ",New York Giants,TE,NYG,14
WRChris MooreWAS,Chris Moore,WR,"$1,030,000 ",Washington Commanders,WR,WAS,12
QBChris OladokunKC,Chris Oladokun,QB,"$840,000 ",Kansas City Chiefs,QB,KC,10
WRChris OlaveNO,Chris Olave,WR,"$6,131,959 ",New Orleans Saints,WR,NO,11
LBChris Paul Jr.LAR,Chris Paul Jr.,LB,"$920,054 ",Los Angeles Rams,LB,LAR,8
RBChris Rodriguez Jr.WAS,Chris Rodriguez Jr.,RB,"$1,030,000 ",Washington Commanders,RB,WAS,12
LBChris Rumph IINO,Chris Rumph II,OLB,"$1,100,000 ",New Orleans Saints,LB,NO,11
DLChris SmithDET,Chris Smith,DT,"$960,000 ",Detroit Lions,DL,DET,8
WRChris TyreeNO,Chris Tyree,WR,"$843,333 ",New Orleans Saints,WR,NO,11
DLChris WilliamsCHI,Chris Williams,DT,"$3,263,000 ",Chicago Bears,DL,CHI,5
DLChristian BarmoreNE,Christian Barmore,DT,"$14,125,000 ",New England Patriots,DL,NE,14
DBChristian BenfordBUF,Christian Benford,CB,"$2,648,569 ",Buffalo Bills,DB,BUF,7
DBChristian BraswellJAC,Christian Braswell,CB,"$1,030,000 ",Jacksonville Jaguars,DB,JAC,8
LBChristian EllissNE,Christian Elliss,OLB,"$4,842,000 ",New England Patriots,LB,NE,14
DBChristian GonzalezNE,Christian Gonzalez,CB,"$4,118,964 ",New England Patriots,DB,NE,14
LBChristian HarrisHOU,Christian Harris,LB,"$3,673,409 ",Houston Texans,LB,HOU,6
DBChristian IzienTB,Christian Izien,S,"$1,033,334 ",Tampa Bay Buccaneers,DB,TB,9
WRChristian KirkHOU,Christian Kirk,WR,"$4,839,294 ",Houston Texans,WR,HOU,6
DBChristian MatthewDAL,Christian Matthew,CB,"$1,030,000 ",Dallas Cowboys,DB,DAL,10
RBChristian McCaffreySF,Christian McCaffrey,RB,"$8,369,119 ",San Francisco 49ers,RB,SF,14
DBChristian Roland-WallaceKC,Christian Roland-Wallace,CB,"$961,666 ",Kansas City Chiefs,DB,KC,10
LBChristian RozeboomCAR,Christian Rozeboom,ILB,"$2,500,000 ",Carolina Panthers,LB,CAR,14
WRChristian WatsonGB,Christian Watson,WR,"$2,940,329 ",Green Bay Packers,WR,GB,5
DLChristopher HintonLAC,Christopher Hinton,DT,"$1,030,000 ",Los Angeles Chargers,DL,LAC,12
DBChristopher Smith IILV,Christopher Smith II,S,"$1,091,244 ",Las Vegas Raiders,DB,LV,8
RBChuba HubbardCAR,Chuba Hubbard,RB,"$5,756,100 ",Carolina Panthers,RB,CAR,14
DBChuck ClarkPIT,Chuck Clark,S,"$1,197,500 ",Pittsburgh Steelers,DB,PIT,5
DLCJ WestSF,CJ West,DT,"$1,092,772 ",San Francisco 49ers,DL,SF,14
DBClarence LewisTEN,Clarence Lewis,CB,"$845,000 ",Tennessee Titans,DB,TEN,10
DBClark Phillips IIIATL,Clark Phillips III,CB,"$1,223,382 ",Atlanta Falcons,DB,ATL,5
LBClaudin CherelusCAR,Claudin Cherelus,ILB,"$1,030,000 ",Carolina Panthers,LB,CAR,14
QBClayton TuneARI,Clayton Tune,QB,"$1,117,656 ",Arizona Cardinals,QB,ARI,8
DLClelin FerrellWAS,Clelin Ferrell,DE,"$1,880,000 ",Washington Commanders,DL,WAS,12
RBClyde Edwards-HelaireNO,Clyde Edwards-Helaire,RB,"$1,030,000 ",New Orleans Saints,RB,NO,11
DBCobee BryantATL,Cobee Bryant,CB,"$853,333 ",Atlanta Falcons,DB,ATL,5
DBCoby BryantSEA,Coby Bryant,CB,"$3,607,951 ",Seattle Seahawks,DB,SEA,8
LBCody BartonTEN,Cody Barton,ILB,"$4,060,000 ",Tennessee Titans,LB,TEN,10
LBCody LindenbergLV,Cody Lindenberg,LB,"$875,292 ",Las Vegas Raiders,LB,LV,8
RBCody SchraderLAR,Cody Schrader,RB,"$960,000 ",Los Angeles Rams,RB,LAR,8
LBCody SimonARI,Cody Simon,LB,"$1,091,190 ",Arizona Cardinals,LB,ARI,8
WRCody WhiteSEA,Cody White,WR,"$1,030,000 ",Seattle Seahawks,WR,SEA,8
TEColby ParkinsonLAR,Colby Parkinson,TE,"$9,833,333 ",Los Angeles Rams,TE,LAR,8
DLColby WoodenGB,Colby Wooden,DE,"$1,221,982 ",Green Bay Packers,DL,GB,5
DBCole BishopBUF,Cole Bishop,S,"$1,488,181 ",Buffalo Bills,DB,BUF,7
WRCole BurgessCIN,Cole Burgess,WR,"$840,000 ",Cincinnati Bengals,WR,CIN,10
LBCole ChristiansenKC,Cole Christiansen,ILB,"$1,100,000 ",Kansas City Chiefs,LB,KC,10
TECole FotheringhamNE,Cole Fotheringham,TE,"$840,000 ",New England Patriots,TE,NE,14
LBCole HolcombPIT,Cole Holcomb,LB,"$3,640,000 ",Pittsburgh Steelers,LB,PIT,5
TECole KmetCHI,Cole Kmet,TE,"$11,600,000 ",Chicago Bears,TE,CHI,5
TECole TurnerWAS,Cole Turner,TE,"$1,030,000 ",Washington Commanders,TE,WAS,12
WRColeman OwenIND,Coleman Owen,WR,"$842,666 ",Indianapolis Colts,WR,IND,11
WRCollin JohnsonLV,Collin Johnson,WR,"$1,030,000 ",Las Vegas Raiders,WR,LV,8
DLCollin OliverGB,Collin Oliver,DE,"$941,021 ",Green Bay Packers,DL,GB,5
TEColson YankoffWAS,Colson Yankoff,TE,"$963,333 ",Washington Commanders,TE,WAS,12
TEColston LovelandCHI,Colston Loveland,TE,"$4,842,910 ",Chicago Bears,TE,CHI,5
QBConnor BazelakTB,Connor Bazelak,QB,"$843,333 ",Tampa Bay Buccaneers,QB,TB,9
TEConnor HeywardPIT,Connor Heyward,TE,"$1,138,806 ",Pittsburgh Steelers,TE,PIT,5
DLConnor O'TooleSEA,Connor O'Toole,DE,"$850,000 ",Seattle Seahawks,DL,SEA,8
DBCooper DeJeanPHI,Cooper DeJean,CB,"$2,109,914 ",Philadelphia Eagles,DB,PHI,9
WRCooper KuppSEA,Cooper Kupp,WR,"$9,350,000 ",Seattle Seahawks,WR,SEA,8
LBCooper McDonaldKC,Cooper McDonald,LB,"$840,000 ",Kansas City Chiefs,LB,KC,10
QBCooper RushBAL,Cooper Rush,QB,"$1,904,000 ",Baltimore Ravens,QB,BAL,7
DBCordale FlottNYG,Cordale Flott,CB,"$3,654,062 ",New York Giants,DB,NYG,14
DBCorey BallentineGB,Corey Ballentine,CB,"$1,170,000 ",Green Bay Packers,DB,GB,5
PCorey BojorquezCLE,Corey Bojorquez,P,"$2,437,500 ",Cleveland Browns,P,CLE,9
RBCorey KinerSF,Corey Kiner,RB,"$848,333 ",San Francisco 49ers,RB,SF,14
DBCorey ThorntonCAR,Corey Thornton,CB,"$843,333 ",Carolina Panthers,DB,CAR,14
PCorliss WaitmanPIT,Corliss Waitman,P,"$1,100,000 ",Pittsburgh Steelers,P,PIT,5
WRCornelius JohnsonGB,Cornelius Johnson,WR,"$840,000 ",Green Bay Packers,WR,GB,5
DBCornell ArmstrongMIA,Cornell Armstrong,CB,"$1,030,000 ",Miami Dolphins,DB,MIA,12
DLCory DurdenNYG,Cory Durden,DT,"$1,030,000 ",New York Giants,DL,NYG,14
DBCory Trice Jr.PIT,Cory Trice Jr.,CB,"$1,051,109 ",Pittsburgh Steelers,DB,PIT,5
WRCourtland SuttonDEN,Courtland Sutton,WR,"$13,900,000 ",Denver Broncos,WR,DEN,12
WRCourtney JacksonDEN,Courtney Jackson,WR,"$841,666 ",Denver Broncos,WR,DEN,12
DLCoziah IzzardKC,Coziah Izzard,DT,"$848,333 ",Kansas City Chiefs,DL,KC,10
RBCraig ReynoldsDET,Craig Reynolds,RB,"$1,180,000 ",Detroit Lions,RB,DET,8
DBCraig WoodsonNE,Craig Woodson,S,"$1,106,611 ",New England Patriots,DB,NE,14
LBCurtis JacobsTEN,Curtis Jacobs,LB,"$960,000 ",Tennessee Titans,LB,TEN,10
LBCurtis RobinsonSF,Curtis Robinson,OLB,"$1,030,000 ",San Francisco 49ers,LB,SF,14
WRCurtis SamuelBUF,Curtis Samuel,WR,"$9,065,000 ",Buffalo Bills,WR,BUF,7
DLD.J. DavidsonNYG,D.J. Davidson,DT,"$1,188,529 ",New York Giants,DL,NYG,14
DBD.J. IveyCIN,D.J. Ivey,CB,"$1,050,163 ",Cincinnati Bengals,DB,CIN,10
DBD.J. JamesNE,D.J. James,CB,"$840,000 ",New England Patriots,DB,NE,14
LBD.J. JohnsonCAR,D.J. Johnson,OLB,"$1,500,814 ",Carolina Panthers,LB,CAR,14
DLD.J. JonesDEN,D.J. Jones,DT,"$6,600,000 ",Denver Broncos,DL,DEN,12
DBD.J. MillerDET,D.J. Miller,S,"$840,000 ",Detroit Lions,DB,DET,8
DLD.J. ReaderDET,D.J. Reader,DT,"$12,933,000 ",Detroit Lions,DL,DET,8
DBD.J. ReedDET,D.J. Reed,CB,"$4,722,000 ",Detroit Lions,DB,DET,8
DBD.J. TurnerCIN,D.J. Turner,CB,"$1,680,012 ",Cincinnati Bengals,DB,CIN,10
LBD.J. WonnumCAR,D.J. Wonnum,OLB,"$7,875,000 ",Carolina Panthers,LB,CAR,14
RBD'Andre SwiftCHI,D'Andre Swift,RB,"$9,333,333 ",Chicago Bears,RB,CHI,5
DBD'Angelo RossHOU,D'Angelo Ross,CB,"$1,107,500 ",Houston Texans,DB,HOU,6
DBD’Anthony BellSEA,D’Anthony Bell,S,"$1,370,000 ",Seattle Seahawks,DB,SEA,8
LBD'Marco JacksonNO,D'Marco Jackson,ILB,"$1,179,229 ",New Orleans Saints,LB,NO,11
DBD’Shawn JamisonPIT,D’Shawn Jamison,CB,"$960,000 ",Pittsburgh Steelers,DB,PIT,5
WRD'Wayne EskridgeMIA,D'Wayne Eskridge,WR,"$1,065,294 ",Miami Dolphins,WR,MIA,12
DLDa’Jon TerryLAR,Da’Jon Terry,DT,"$842,666 ",Los Angeles Rams,DL,LAR,8
WRDa'Quan FeltonNYG,Da'Quan Felton,WR,"$850,000 ",New York Giants,WR,NYG,14
DLDa'shawn HandLAC,Da'shawn Hand,DE,"$2,750,000 ",Los Angeles Chargers,DL,LAC,12
DBDadrion Taylor-DemersonARI,Dadrion Taylor-Demerson,S,"$1,171,711 ",Arizona Cardinals,DB,ARI,8
DBDaequan HardyBUF,Daequan Hardy,CB,"$844,250 ",Buffalo Bills,DB,BUF,7
DBDaijahn AnthonyCIN,Daijahn Anthony,S,"$989,446 ",Cincinnati Bengals,DB,CIN,10
LBDaiyan HenleyLAC,Daiyan Henley,LB,"$1,478,297 ",Los Angeles Chargers,LB,LAC,12
QBDak PrescottDAL,Dak Prescott,QB,"$50,518,430 ",Dallas Cowboys,QB,DAL,10
WRDalen CambreNYG,Dalen Cambre,WR,"$840,000 ",New York Giants,WR,NYG,14
WRDalevon CampbellLAC,Dalevon Campbell,WR,"$840,666 ",Los Angeles Chargers,WR,LAC,12
LBDallas GantPHI,Dallas Gant,ILB,"$840,000 ",Philadelphia Eagles,LB,PHI,9
TEDallas GoedertPHI,Dallas Goedert,TE,"$10,714,463 ",Philadelphia Eagles,TE,PHI,9
LBDallas TurnerMIN,Dallas Turner,OLB,"$3,583,378 ",Minnesota Vikings,LB,MIN,6
DBDallis FlowersSF,Dallis Flowers,CB,"$1,100,000 ",San Francisco 49ers,DB,SF,14
TEDalton KincaidBUF,Dalton Kincaid,TE,"$3,661,915 ",Buffalo Bills,TE,BUF,7
TEDalton SchultzHOU,Dalton Schultz,TE,"$14,000,000 ",Houston Texans,TE,HOU,6
DLDalvin TomlinsonARI,Dalvin Tomlinson,DT,"$7,644,117 ",Arizona Cardinals,DL,ARI,8
DBDalys BeanumNO,Dalys Beanum,CB,"$845,000 ",New Orleans Saints,DB,NO,11
DBDamar HamlinBUF,Damar Hamlin,S,"$1,337,500 ",Buffalo Bills,DB,BUF,7
DBDamarion WilliamsSEA,Damarion Williams,CB,"$1,030,000 ",Seattle Seahawks,DB,SEA,8
DBDamarri MathisDEN,Damarri Mathis,CB,"$3,600,741 ",Denver Broncos,DB,DEN,12
RBDameon PierceHOU,Dameon Pierce,RB,"$1,303,858 ",Houston Texans,RB,HOU,6
RBDamien MartinezSEA,Damien Martinez,RB,"$874,736 ",Seattle Seahawks,RB,SEA,8
DBDamon ArnetteHOU,Damon Arnette,CB,"$1,030,000 ",Houston Texans,DB,HOU,6
LBDamone ClarkDAL,Damone Clark,LB,"$3,466,638 ",Dallas Cowboys,LB,DAL,10
DBDamontae KazeeCLE,Damontae Kazee,S,"$1,422,500 ",Cleveland Browns,DB,CLE,9
DBDane BeltonNYG,Dane Belton,S,"$1,296,122 ",New York Giants,DB,NYG,14
DBDane JacksonBUF,Dane Jackson,CB,"$1,337,500 ",Buffalo Bills,DB,BUF,7
TEDaniel BellingerNYG,Daniel Bellinger,TE,"$3,604,276 ",New York Giants,TE,NYG,14
KDaniel CarlsonLV,Daniel Carlson,K,"$5,150,000 ",Las Vegas Raiders,K,LV,8
DLDaniel EkualePIT,Daniel Ekuale,DT,"$2,800,000 ",Pittsburgh Steelers,DL,PIT,5
DLDaniel HardyCHI,Daniel Hardy,DE,"$1,030,000 ",Chicago Bears,DL,CHI,5
WRDaniel JacksonHOU,Daniel Jackson,WR,"$845,000 ",Houston Texans,WR,HOU,6
QBDaniel JonesIND,Daniel Jones,QB,"$14,500,000 ",Indianapolis Colts,QB,IND,11
DBDaniel ScottIND,Daniel Scott,S,"$916,959 ",Indianapolis Colts,DB,IND,11
DBDaniel ThomasJAC,Daniel Thomas,S,"$2,275,735 ",Jacksonville Jaguars,DB,JAC,8
PDaniel WhelanGB,Daniel Whelan,P,"$1,030,000 ",Green Bay Packers,P,GB,5
DLDanielle HunterHOU,Danielle Hunter,DE,"$20,200,000 ",Houston Texans,DL,HOU,6
DLDanny StriggowJAC,Danny Striggow,DE,"$846,666 ",Jacksonville Jaguars,DL,JAC,8
LBDanny StutsmanNO,Danny Stutsman,LB,"$1,097,091 ",New Orleans Saints,LB,NO,11
DLDante Fowler Jr.DAL,Dante Fowler Jr.,DE,"$6,000,000 ",Dallas Cowboys,DL,DAL,10
RBDante MillerNYG,Dante Miller,RB,"$960,000 ",New York Giants,RB,NYG,14
WRDante PettisNO,Dante Pettis,WR,"$1,030,000 ",New Orleans Saints,WR,NO,11
DLDante StillsARI,Dante Stills,DT,"$1,063,334 ",Arizona Cardinals,DL,ARI,8
DBDante Trader Jr.MIA,Dante Trader Jr.,S,"$943,696 ",Miami Dolphins,DB,MIA,12
DLDaQuan JonesBUF,DaQuan Jones,DT,"$9,408,000 ",Buffalo Bills,DL,BUF,7
RBDare OgunbowaleHOU,Dare Ogunbowale,RB,"$1,800,000 ",Houston Texans,RB,HOU,6
WRDareke YoungSEA,Dareke Young,WR,"$1,125,275 ",Seattle Seahawks,WR,SEA,8
DBDarien PorterLV,Darien Porter,CB,"$1,222,562 ",Las Vegas Raiders,DB,LV,8
DBDarious WilliamsLAR,Darious Williams,CB,"$9,166,666 ",Los Angeles Rams,DB,LAR,8
DLDarius AlexanderNYG,Darius Alexander,DT,"$1,229,467 ",New York Giants,DL,NYG,14
WRDarius CooperPHI,Darius Cooper,WR,"$845,000 ",Philadelphia Eagles,WR,PHI,9
LBDarius HarrisDAL,Darius Harris,OLB,"$1,030,000 ",Dallas Cowboys,LB,DAL,10
WRDarius LassiterJAC,Darius Lassiter,WR,"$841,666 ",Jacksonville Jaguars,WR,JAC,8
LBDarius MuasauNYG,Darius Muasau,LB,"$1,010,228 ",New York Giants,LB,NYG,14
DLDarius RobinsonARI,Darius Robinson,DE,"$3,152,120 ",Arizona Cardinals,DL,ARI,8
DBDarius SlayPIT,Darius Slay,CB,"$10,000,000 ",Pittsburgh Steelers,DB,PIT,5
WRDarius SlaytonNYG,Darius Slayton,WR,"$6,970,593 ",New York Giants,WR,NYG,14
DBDarnay HolmesLV,Darnay Holmes,CB,"$1,055,000 ",Las Vegas Raiders,DB,LV,8
WRDarnell MooneyATL,Darnell Mooney,WR,"$14,480,000 ",Atlanta Falcons,WR,ATL,5
DBDarnell SavageJAC,Darnell Savage,S,"$4,682,353 ",Jacksonville Jaguars,DB,JAC,8
TEDarnell WashingtonPIT,Darnell Washington,TE,"$1,460,157 ",Pittsburgh Steelers,TE,PIT,5
DBDaRon BlandDAL,DaRon Bland,CB,"$5,422,197 ",Dallas Cowboys,DB,DAL,10
LBDaRon GilbertDET,DaRon Gilbert,OLB,"$840,000 ",Detroit Lions,LB,DET,8
DLDaron PayneWAS,Daron Payne,DT,"$26,170,000 ",Washington Commanders,DL,WAS,12
DBDarrell Baker Jr.TEN,Darrell Baker Jr.,CB,"$1,100,000 ",Tennessee Titans,DB,TEN,10
DBDarrell Luter Jr.SF,Darrell Luter Jr.,CB,"$1,108,378 ",San Francisco 49ers,DB,SF,14
