Lookup Key,Name,Position,Salary Cap,Team,Position Group,Abbreviation,Bye Week
DBAlontae TaylorNO,Alontae Taylor,CB,"$4,260,945 ",New Orleans Saints,DB,NO,11
RBAlvin KamaraNO,Alvin Kamara,RB,"$10,061,471 ",New Orleans Saints,RB,NO,11
DBAmani HookerTEN,Amani Hooker,SS,"$11,098,823 ",Tennessee Titans,DB,TEN,10
DBAmani OruwariyeTEN,Amani Oruwariye,CB,"$1,030,000 ",Tennessee Titans,DB,TEN,10
RBAmar JohnsonGB,Amar Johnson,RB,"$845,000 ",Green Bay Packers,RB,GB,5
LBAmari BurneyTEN,Amari Burney,LB,"$1,030,000 ",Tennessee Titans,LB,TEN,10
DLAmari GainerLV,Amari Gainer,DE,"$966,666 ",Las Vegas Raiders,DL,LV,8
DBAmbry ThomasMIN,Ambry Thomas,CB,"$1,100,000 ",Minnesota Vikings,DB,MIN,6
RBAmeer AbdullahSF,Ameer Abdullah,RB,"$1,030,000 ",San Francisco 49ers,RB,SF,14
DBAmeer SpeedCHI,Ameer Speed,CB,"$1,030,000 ",Chicago Bears,DB,CHI,5
LBAmen OgbongbemigaCHI,Amen Ogbongbemiga,OLB,"$2,375,000 ",Chicago Bears,LB,CHI,5
DBAmik RobertsonDET,Amik Robertson,CB,"$6,400,000 ",Detroit Lions,DB,DET,8
WRAmon-Ra St. BrownDET,Amon-Ra St. Brown,WR,"$13,910,000 ",Detroit Lions,WR,DET,8
WRAndre BaccelliaARI,Andre Baccellia,WR,"$1,030,000 ",Arizona Cardinals,WR,ARI,8
LBAndre Carter IILV,Andre Carter II,OLB,"$1,030,000 ",Las Vegas Raiders,LB,LV,8
DBAndre CiscoNYJ,Andre Cisco,S,"$4,500,000 ",New York Jets,DB,NYJ,9
DLAndre Jones Jr.WAS,Andre Jones Jr.,DE,"$960,000 ",Washington Commanders,DL,WAS,12
KAndre SzmytCLE,Andre Szmyt,K,"$840,000 ",Cleveland Browns,K,CLE,9
WRAndrei IosivasCIN,Andrei Iosivas,WR,"$1,069,846 ",Cincinnati Bengals,WR,CIN,10
KAndres BorregalesNE,Andres Borregales,K,"$904,121 ",New England Patriots,K,NE,14
WRAndrew ArmstrongMIA,Andrew Armstrong,WR,"$846,666 ",Miami Dolphins,WR,MIA,12
RBAndrew BeckNYJ,Andrew Beck,FB,"$1,197,500 ",New York Jets,RB,NYJ,9
DLAndrew BillingsCHI,Andrew Billings,DT,"$3,320,000 ",Chicago Bears,DL,CHI,5
DBAndrew Booth Jr.DAL,Andrew Booth Jr.,CB,"$1,100,000 ",Dallas Cowboys,DB,DAL,10
LBAndrew FarmerDEN,Andrew Farmer,OLB,"$960,000 ",Denver Broncos,LB,DEN,12
DBAndrew MukubaPHI,Andrew Mukuba,S,"$1,301,917 ",Philadelphia Eagles,DB,PHI,9
TEAndrew OgletreeIND,Andrew Ogletree,TE,"$1,144,547 ",Indianapolis Colts,TE,IND,11
LBAndrew Van GinkelMIN,Andrew Van Ginkel,OLB,"$11,400,000 ",Minnesota Vikings,LB,MIN,6
DBAndrew WingardJAC,Andrew Wingard,S,"$3,594,118 ",Jacksonville Jaguars,DB,JAC,8
DBAndru PhillipsNYG,Andru Phillips,CB,"$1,362,714 ",New York Giants,DB,NYG,14
QBAndy DaltonCAR,Andy Dalton,QB,"$3,203,666 ",Carolina Panthers,QB,CAR,14
LBAnfernee JenningsNE,Anfernee Jennings,OLB,"$5,305,882 ",New England Patriots,LB,NE,14
LBAnfernee OrjiTEN,Anfernee Orji,LB,"$960,000 ",Tennessee Titans,LB,TEN,10
DLAnthony Booker Jr.LV,Anthony Booker Jr.,DT,"$845,000 ",Las Vegas Raiders,DL,LV,8
DLAnthony CampbellSEA,Anthony Campbell,DT,"$840,000 ",Seattle Seahawks,DL,SEA,8
DLAnthony GoodlowARI,Anthony Goodlow,DE,"$840,000 ",Arizona Cardinals,DL,ARI,8
WRAnthony GouldIND,Anthony Gould,WR,"$1,048,166 ",Indianapolis Colts,WR,IND,11
