Player,Team,TruePos,Snaps,Solo Tkl,Ast. Tkl,TFL,QB Hits,PD,FF,FR,INT,SACK,Big3 FFPTS,FantPros FFPTS,FBGuys FFPTS,D-UP FFPTS,Big3 FFPTS/SNAP,,,,,,,
Leonard Williams,SEA,DT,725,3.4,1.1,0.2,0.17,0,0,0,0,0.21,6.87,7.17,6.77,7.48,0.009,,,,,,,
Byron Young,LAR,ED,771,1.9,0.9,0.2,0.2,0,0,0,0,0.6,6.85,6.33,5.93,7.50,0.009,,,,,,,
Quinnen Williams,NYJ,DT,755,3.2,1.1,0.2,0.27,0,0,0,0,0.21,6.82,6.87,6.47,7.28,0.009,,,,,,,
Laiatu Latu,IND,ED,765,2.6,0.9,0.3,0.25,0,0,0,0,0.35,6.78,6.19,5.98,7.30,0.011,,,,,,,
Kyle Van Noy,BAL,ED,625,2.3,1.3,0.42,0.41,0,0,0,0,0.23,6.66,6.25,5.35,6.73,#DIV/0!,,,,,,,
Arden Key,TEN,ED,,2.1,1.2,0.31,0.25,0.01,0,0,0,0.39,6.64,6.11,5.63,7.00,0.010,,,,,,,
Dallas Turner,MIN,ED,684,2.1,1.3,0.27,0.34,0,0,0,0,0.36,6.62,5.68,5.57,6.84,0.009,,,,,,,
Tuli Tuipulotu,LAC,ED,745,1.3,2.1,0.2,0.3,0.1,0,0,0,0.4,6.60,5.61,5.28,6.50,0.009,,,,,,,
Bradley Chubb,MIA,ED,706,1.7,1.3,0.32,0.36,0,0,0,0,0.36,6.26,5.90,4.97,6.36,#REF!,,,,,,,
Yaya Diaby,TB,ED,765,1.9,1.4,0.2,0.2,0,0,0,0,0.4,6.23,5.93,5.50,6.55,0.011,,,,,,,
Odafe Oweh,BAL,ED,560,1.9,2.1,0.23,0.19,0,0,0,0,0.26,6.09,5.82,5.47,6.11,#DIV/0!,,,,,,,
Dante Fowler,DAL,ED,,2.4,1.3,0.23,0.24,0.07,0,0,0,0.17,6.05,5.50,5.36,6.25,0.008,,,,,,,
Jaelan Phillips,MIA,ED,702,1.8,1.2,0.27,0.25,0,0,0,0,0.34,5.89,5.90,4.96,6.13,0.010,,,,,,,
Khalil Mack,LAC,ED,635,1.9,1.2,0.2,0.1,0,0,0,0,0.4,5.88,5.56,5.35,6.35,,,,,,,,
Braden Fiske,LAR,DT,605,2.4,1.2,0.1,0.1,0,0,0,0,0.3,5.80,5.56,5.70,6.30,0.007,,,,,,,
Zach Sieler,MIA,DT,825,1.9,1.4,0.23,0.17,0,0,0,0,0.3,5.73,5.05,5.10,5.98,0.009,,,,,,,
Jalyx Hunt,PHI,ED,623,1.6,1.4,0.18,0.31,0,0,0,0,0.31,5.58,4.85,4.69,5.63,0.009,,,,,,,
Isaiah McGuire,CLE,ED,635,0.9,1.2,0.3,0.2,0,0,0,0,0.5,5.53,5.27,4.25,5.75,0.007,,,,,,,
Travon Walker,JAX,ED,835,1.3,2.4,0.34,0.18,0,0,0,0,0.21,5.52,5.71,4.59,5.27,#DIV/0!,,,,,,,
Keeanu Benton,PIT,DT,,2.4,1.1,0.32,0.12,0,0,0,0,0.16,5.51,5.73,5.07,5.87,0.007,,,,,,,
Kobie Turner,LAR,DT,802,2.6,1.1,0.1,0.1,0,0,0,0,0.2,5.48,5.59,5.53,5.95,0.007,,,,,,,
Adam Butler,LV,DT,765,2.3,2.1,0.12,0.16,0,0,0,0,0.08,5.41,5.12,5.35,5.38,#DIV/0!,,,,,,,
Joey Bosa,BUF,ED,,1.7,1.4,0.24,0.19,0,0.07,0,0,0.19,5.41,5.58,4.57,5.27,0.008,,,,,,,
Ed Oliver,BUF,DT,706,2.7,0.6,0.34,0.19,0,0,0,0,0.1,5.39,5.18,4.90,5.82,0.006,,,,,,,
Jalen Carter,PHI,DT,870,1.6,1.2,0.3,0.12,0,0,0,0,0.32,5.34,4.89,4.58,5.64,0.012,,,,,,,
Marshawn Kneeland,DAL,ED,435,1.7,1.2,0.14,0.24,0,0,0,0,0.29,5.24,4.68,4.61,5.41,#DIV/0!,,,,,,,
Myles Murphy,CLE,ED,,1.6,0.7,0.29,0.28,0.01,0,0,0,0.29,5.16,5.04,4.10,5.39,#DIV/0!,,,,,,,
Calijah Kancey,TB,DT,,1.8,0.7,0.18,0.09,0.01,0,0,0,0.36,5.16,4.81,4.68,5.70,0.007,,,,,,,
Montez Sweat,CHI,ED,705,1.6,1.4,0.1,0.2,0,0,0,0,0.29,5.10,4.70,4.61,5.24,#DIV/0!,,,,,,,
Milton Williams,NE,DT,,1.5,1.3,0.21,0.19,0.01,0,0,0,0.26,4.99,4.47,4.28,5.11,#DIV/0!,,,,,,,
Dayo Odeyingbo,CHI,ED,,1.2,1.4,0.28,0.24,0.01,0,0,0,0.26,4.93,4.27,3.91,4.90,#DIV/0!,,,,,,,
Marcus Davenport,DET,ED,,1.4,0.9,0.32,0.35,0.01,0,0,0,0.21,4.86,4.39,3.63,4.84,#DIV/0!,,,,,,,
Sam Williams,DAL,ED,,1.2,1.8,0.24,0.25,0,0,0,0,0.19,4.78,4.48,3.91,4.57,#DIV/0!,,,,,,,
Leonard Floyd,ATL,ED,,1.4,1.6,0.21,0.22,0,0,0,0,0.19,4.76,4.50,4.06,4.68,0.007,,,,,,,
Donovan Ezeiruaku,DAL,ED,647,1.6,1.4,0.19,0.2,0,0,0,0,0.18,4.73,4.42,4.17,4.76,,,,,,,,
Abdul Carter,NYG,ED,645,1.6,1.2,0.18,0.21,0,0,0,0,0.21,4.73,4.42,4.14,4.83,#DIV/0!,,,,,,,
