Player,Pos,Attempts,Comps,Pass Yards,Pass TDs,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections,Actuals,Rank
Carson Steele,RB,,,,,,,,,,0.1,,0.59,0,391
Alex Bachman,WR,,,,,,,,0.1,,,,0.59,0,392
Jack Westover,TE,,,,,,,,0.1,,,,0.59,0,393
Jeff Wilson,RB,,,,,,,,,,0.1,,0.59,0,394
Ricky White,WR,,,,,,,,0.1,,,,0.59,0,395
Isaac Guerendo,RB,,,,,,0.12,1.03,,2.29,,0.0,0.57,0,396
Chris Moore,DB,,,,,,,,,,0.1,,0.57,0,397
Adam Prentice,FB,,,,,,,,,,0.09,,0.55,0,398
Dylan Laube,RB,,,,,,,,,,0.09,,0.55,0,399
Tanner Hudson,TE,,,,,,,,0.09,,,,0.55,0,400
Xavier Smith,WR,,,,,,0.21,2.32,,0.38,,0.09,0.54,0,401
Robbie Ouzts,RB,,,,,,,,,,0.09,,0.53,0,402
Ihmir Smith-Marsette,WR,,,,,,,,0.09,,,,0.52,0,403
Beaux Collins,WR,,,,,,,,0.09,,,,0.52,0,404
Nick Vannett,TE,,,,,,,,0.09,,,,0.52,0,405
Reggie Gilliam,RB,,,,,,,,,,0.08,,0.49,0,406
Will Mallory,TE,,,,,,0.21,2.2,,,,0.0,0.49,0,407
Jordan Mims,RB,,,,,,,,,,0.08,,0.49,0,408
Myles Price,WR,,,,,,,,0.08,,,,0.48,0,409
Britain Covey,WR,,,,,,,,0.08,,,,0.47,0,410
Blake Whiteheart,TE,,,,,,,,0.08,,,,0.47,0,411
Konata Mumpfield,WR,,,,,,,,0.08,,,,0.47,0,412
Tyler Scott,WR,,,,,,,,0.08,,,,0.45,0,413
Feleipe Franks,TE,,,,,,,,0.07,,,,0.43,0,414
Laquon Treadwell,WR,,,,,,,,0.07,,,,0.41,0,415
Anthony Gould,WR,,,,,,0.17,1.89,,,,0.0,0.36,0,416
Raheim Sanders,RB,,,,,,0.08,0.69,,1.48,,0.0,0.36,0,417
Colson Yankoff,TE,,,,,,,,0.06,,,,0.35,0,418
Teagan Quitoriano,TE,,,,,,,,0.05,,,,0.31,0,419
Ben Sims,TE,,,,,,,,0.05,,,,0.3,0,420
Jimmy Horn,WR,,,,,,0.11,1.18,,,,0.0,0.29,0,421
John FitzPatrick,TE,,,,,,,,0.04,,,,0.23,0,422
Skyy Moore,WR,,,,,,0.08,1.11,,,,0.0,0.19,0,423
Jordan James,RB,,,,,,0.04,0.39,,0.66,,0.0,0.15,0,424
Sione Vaki,RB,,,,,,0.02,0.23,,0.7,,0.0,0.11,0,425
