Player,Pos,Attempts,Comps,Pass Yards,Pass TDs,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections,Actuals,Rank
Darren Waller,TE,,,,,,2.28,24.86,0.28,,,0.01,6.42,0,183
Jalen Nailor,WR,,,,,,1.96,26.77,0.29,0.11,,0.01,6.42,0,184
Tyler Allgeier,RB,,,,,,0.54,4.18,,36.76,0.29,0.05,6.38,0,185
Rachaad White,RB,,,,,,1.64,11.29,,18.77,0.24,0.05,6.09,0,186
Josh Reynolds,WR,,,,,,1.87,25.88,0.26,,,,6.02,0,187
Justice Hill,RB,,,,,,2.01,14.05,,10.93,0.24,0.06,5.95,0,188
Malik Washington,WR,,,,,,2.23,23.6,0.21,0.84,,0.03,5.92,0,189
Ollie Gordon,RB,,,,,,0.84,7.17,,28.89,0.24,0.03,5.87,0,190
Hunter Renfrow,WR,,,,,,2.19,23.09,0.22,,,0.01,5.79,0,191
Quinshon Judkins,RB,,,,,,0.9,8.08,,25.83,,0.04,5.73,0,192
Michael Mayer,TE,,,,,,1.91,18.72,0.31,,,0.01,5.64,0,193
Brian Robinson,RB,,,,,,0.85,7.01,,21.84,,0.05,5.6,0,194
Tyler Lockett,WR,,,,,,1.87,25.84,0.19,,,0.01,5.57,0,195
Will Dissly,TE,,,,,,1.9,19.06,0.29,,,0.01,5.53,0,196
Olamide Zaccheaus,WR,,,,,,1.59,22.09,0.28,0.54,,0.01,5.52,0,197
Rico Dowdle,RB,,,,,,1.6,10.96,,16.57,0.19,0.04,5.52,0,198
KaVontae Turpin,WR,,,,,,1.62,20.55,0.23,3.99,,0.03,5.48,0,199
Noah Brown,WR,,,,,,2.35,21.5,0.15,,,0.01,5.42,0,200
Braelon Allen,RB,,,,,,0.56,4.53,,21.19,0.38,0.03,5.41,0,201
Tyler Conklin,TE,,,,,,1.78,17.14,0.32,,,0.01,5.39,0,202
Cam Skattebo,RB,,,,,,0.79,6.93,,19.23,0.3,0.03,5.2,0,203
Jayden Higgins,WR,,,,,,1.65,18.43,0.28,0.29,,0.01,5.17,0,204
DeAndre Hopkins,WR,,,,,,1.38,19.13,0.29,,,0.01,5.06,0,205
Tory Horton,WR,,,,,,1.63,18.79,0.23,0.8,,0.01,4.96,0,206
Andrei Iosivas,WR,,,,,,1.41,18.92,0.27,,,0.01,4.95,0,207
Ray Davis,RB,,,,,,0.63,5.42,,19.47,0.29,0.04,4.86,0,208
Elijah Arroyo,TE,,,,,,1.86,19.13,0.15,,,0.01,4.66,0,209
Tyquan Thornton,WR,,,,,,1.19,13.82,0.34,,,0.01,4.62,0,210
Kendre Miller,RB,,,,,,0.95,7.92,,20.61,,0.03,4.52,0,211
Sterling Shepard,WR,,,,,,1.45,17.05,0.22,0.7,,0.01,4.52,0,212
Devin Singletary,RB,,,,,,0.38,2.26,,24.52,0.24,0.03,4.48,0,213
Kyle Monangai,RB,,,,,,0.47,4.26,,14.29,0.35,0.02,4.41,0,214
Miles Sanders,RB,,,,,,0.69,4.15,,16.1,0.28,0.02,4.37,0,215
Samaje Perine,RB,,,,,,1.35,10.82,,7.55,0.19,0.05,4.36,0,216
Brandin Cooks,WR,,,,,,1.51,19.63,,0.32,,0.01,4.29,0,217
LeQuint Allen,RB,,,,,,1.24,10.93,,8.09,0.18,0.02,4.24,0,218
Noah Gray,TE,,,,,,1.43,14.0,0.22,0.12,,0.01,4.17,0,219
Nick Westbrook-Ikhine,WR,,,,,,1.17,16.9,0.21,0.23,,0.01,4.13,0,220
Dontayvion Wicks,WR,,,,,,1.21,15.73,0.22,0.25,,0.01,4.1,0,221
Dare Ogunbowale,RB,,,,,,1.32,9.7,,7.68,0.16,0.02,4.05,0,222
Ty Johnson,RB,,,,,,0.79,6.89,,13.62,0.19,0.02,4.01,0,223
Isaiah Likely,TE,,,,,,1.54,16.9,,,,0.02,4.01,0,224
Jalen Tolbert,WR,,,,,,1.22,15.42,0.19,,,0.01,3.93,0,225
Blake Corum,RB,,,,,,0.38,3.19,,15.84,0.27,0.03,3.88,0,226
Tyler Badie,RB,,,,,,1.31,11.47,,7.43,0.09,0.02,3.75,0,227
Dawson Knox,TE,,,,,,1.15,12.36,0.21,,,0.01,3.67,0,228
Jahan Dotson,WR,,,,,,1.15,15.03,0.16,0.33,,0.01,3.67,0,229
Emanuel Wilson,RB,,,,,,0.88,6.46,,13.45,0.13,0.02,3.64,0,230
Roman Wilson,WR,,,,,,1.29,14.38,0.15,,,0.01,3.63,0,231
Roschon Johnson,RB,,,,,,0.79,5.82,,4.91,0.29,0.01,3.63,0,232
Tutu Atwell,WR,,,,,,0.94,12.34,0.23,0.69,,0.01,3.6,0,233
Josh Oliver,TE,,,,,,1.27,12.4,0.18,,,0.01,3.59,0,234
Tommy Tremble,TE,,,,,,1.25,11.82,0.19,,,0.01,3.59,0,235
Kyle Juszczyk,FB,,,,,,1.33,13.35,,0.9,,0.01,3.54,0,236
Isaac TeSlaa,WR,,,,,,0.85,9.95,0.27,0.08,,0.0,3.5,0,237
Dameon Pierce,RB,,,,,,0.45,3.12,,16.91,0.17,0.05,3.46,0,238
Luther Burden,WR,,,,,,0.88,10.04,0.23,1.64,,0.01,3.45,0,239
Gunnar Helm,TE,,,,,,1.27,13.38,0.14,,,0.01,3.45,0,240
Will Shipley,RB,,,,,,0.53,4.37,,13.9,0.18,0.02,3.44,0,241
Terrance Ferguson,TE,,,,,,1.46,14.68,,,,0.01,3.41,0,242
Jeremy Ruckert,TE,,,,,,1.34,12.04,0.14,,,0.01,3.39,0,243
Woody Marks,RB,,,,,,0.57,4.95,,14.06,0.15,0.02,3.36,0,244
Jaylin Noel,WR,,,,,,0.99,10.89,0.19,0.98,,0.01,3.34,0,245
Kaleb Johnson,RB,,,,,,0.45,3.86,,12.75,0.19,0.01,3.28,0,246
Julian Hill,TE,,,,,,0.85,8.37,0.26,,,0.0,3.27,0,247
Zamir White,RB,,,,,,0.37,2.76,,11.88,0.23,0.02,3.24,0,248
Xavier Hutchinson,WR,,,,,,0.92,11.01,0.2,,,,3.23,0,249
Justin Watson,WR,,,,,,0.77,11.47,0.22,,,0.0,3.22,0,250
Adam Trautman,TE,,,,,,0.93,9.9,0.21,,,0.0,3.17,0,251
Kalif Raymond,WR,,,,,,1.1,15.19,,0.86,,0.04,3.13,0,252
Jaylen Wright,RB,,,,,,0.35,2.99,,13.11,0.19,0.03,3.13,0,253
Mack Hollins,WR,,,,,,0.91,11.83,0.16,0.27,,0.01,3.1,0,254
Greg Dortch,WR,,,,,,0.97,10.23,0.16,1.0,,0.01,3.07,0,255
Jaydon Blue,RB,,,,,,0.27,2.34,,8.94,0.28,0.01,3.06,0,256
Jordan Whittington,WR,,,,,,0.71,8.24,0.23,1.52,,0.0,3.04,0,257
Jake Tonges,TE,,,,,,1.28,13.08,,,,0.01,3.01,0,258
Luke Schoonmaker,TE,,,,,,1.1,10.58,0.14,,,0.01,2.99,0,259
Julius Chestnut,RB,,,,,,0.43,3.83,,11.52,0.16,0.02,2.94,0,260
Kendrick Bourne,WR,,,,,,1.0,14.05,,,,0.01,2.89,0,261
Austin Hooper,TE,,,,,,0.94,9.14,0.16,,,0.0,2.84,0,262
DJ Giddens,RB,,,,,,0.45,3.92,,9.28,0.18,0.01,2.84,0,263
Jalen Royals,WR,,,,,,1.11,12.12,,0.24,,0.01,2.83,0,264
Jamari Thrash,WR,,,,,,0.69,8.08,0.22,,,,2.82,0,265
Brashard Smith,RB,,,,,,0.53,4.45,,8.07,0.16,0.01,2.76,0,266
Jaylin Lane,WR,,,,,,0.9,10.06,0.13,0.5,,0.01,2.73,0,267
Xavier Worthy,WR,,,,,,0.88,10.44,,1.26,,0.01,2.65,0,268
Luke Musgrave,TE,,,,,,0.98,9.65,0.12,,,0.01,2.65,0,269
Colby Parkinson,TE,,,,,,0.74,7.41,0.19,,,0.0,2.64,0,270
KeAndre Lambert-Smith,WR,,,,,,0.68,7.75,0.19,0.26,,0.0,2.61,0,271
Devin Neal,RB,,,,,,0.49,4.16,,10.91,,0.01,2.6,0,272
Tip Reiman,TE,,,,,,0.75,7.42,0.18,,,0.0,2.59,0,273
Chris Brooks,RB,,,,,,0.37,2.91,,8.42,0.17,0.01,2.55,0,274
Chimere Dike,WR,,,,,,0.69,8.01,0.16,0.46,,0.0,2.53,0,275
Isaiah Davis,RB,,,,,,0.59,4.95,,5.97,0.14,0.01,2.5,0,276
Luke Farrell,TE,,,,,,1.11,10.82,,,,0.01,2.49,0,277
Tai Felton,WR,,,,,,0.68,7.5,0.16,0.19,,0.0,2.43,0,278
Hassan Haskins,RB,,,,,,0.62,4.81,,4.69,0.14,0.01,2.42,0,279
Johnny Mundt,TE,,,,,,0.96,8.94,0.09,,,0.0,2.4,0,280
Antonio Gibson,RB,,,,,,0.5,3.5,,7.65,0.13,0.01,2.39,0,281
Elijah Higgins,TE,,,,,,0.6,5.86,0.19,,,0.0,2.36,0,282
Charlie Kolar,TE,,,,,,0.42,4.74,0.23,0.19,,0.0,2.28,0,283
Parker Washington,WR,,,,,,0.47,5.65,0.19,0.66,,0.0,2.26,0,284
Dee Eskridge,WR,,,,,,0.53,5.97,0.19,,,0.0,2.24,0,285
Jack Bech,WR,,,,,,0.63,7.24,0.14,0.31,,0.0,2.24,0,286
Emari Demercado,RB,,,,,,0.25,1.8,,7.14,0.18,0.01,2.23,0,287
Kalel Mullings,RB,,,,,,0.25,2.21,,7.55,0.16,0.01,2.2,0,288
Drew Sample,TE,,,,,,0.81,7.02,0.11,,,0.0,2.18,0,289
Trevor Etienne,RB,,,,,,0.26,2.25,,10.2,0.11,0.01,2.17,0,290
Jaleel McLaughlin,RB,,,,,,0.66,3.94,,5.05,0.1,0.03,2.15,0,291
Sean Tucker,RB,,,,,,0.36,3.23,,6.53,0.13,0.02,2.1,0,292
Payne Durham,TE,,,,,,0.63,6.52,0.14,,,0.0,2.1,0,293
Devaughn Vele,WR,,,,,,0.81,9.64,,0.24,,0.0,2.1,0,294
Russell Gage,WR,,,,,,0.78,9.49,,,,0.0,2.09,0,295
Brevyn Spann-Ford,TE,,,,,,0.64,6.59,0.13,,,0.0,2.08,0,296
Tre' Harris,WR,,,,,,0.41,4.57,0.19,0.37,,0.0,2.03,0,297
Adonai Mitchell,WR,,,,,,0.5,6.45,0.14,0.37,,0.0,2.02,0,298
Zay Jones,WR,,,,,,0.58,6.6,0.11,0.56,,0.0,1.96,0,299
Grant Calcaterra,TE,,,,,,0.25,2.72,0.24,,,0.0,1.94,0,300
Devin Culp,TE,,,,,,0.71,7.94,,,,0.0,1.92,0,301
Allen Lazard,WR,,,,,,0.33,4.57,0.18,,,0.0,1.87,0,302
Kyle Williams,WR,,,,,,0.48,5.36,0.12,0.75,,0.0,1.84,0,303
Charlie Jones,WR,,,,,,0.61,6.36,0.09,0.19,,0.0,1.83,0,304
Hunter Luepke,FB,,,,,,0.41,4.0,,1.93,0.14,0.0,1.82,0,305
Isaiah Bond,WR,,,,,,0.7,7.97,,,,,1.8,0,306
Daniel Bellinger,TE,,,,,,0.61,6.04,0.09,,,0.0,1.76,0,307
Curtis Samuel,WR,,,,,,0.31,3.36,0.16,1.28,,0.0,1.74,0,308
Casey Washington,WR,,,,,,0.44,5.28,0.12,,,0.0,1.68,0,309
Mo Alie-Cox,TE,,,,,,0.27,3.01,0.18,,,0.0,1.65,0,310
Jake Bobo,WR,,,,,,0.24,2.71,0.18,,,0.0,1.59,0,311
Trent Sherfield,WR,,,,,,0.23,2.69,0.18,,,0.0,1.57,0,312
Charlie Woerner,TE,,,,,,0.5,4.95,0.1,,,0.0,1.57,0,313
